Code,Year,Sales,Bills
22114,2000,3394276.0,3
22115,2001,79228.0,2
22117,1999,960146.0,10
22117,2000,5736563.0,18
22117,2001,2636100.0,7
22117,2002,5354.56,1
22117,2003,0.0,2
22118,1999,424241.0,13
22120,1999,60668.0,1
22124,2007,83.020004,2
22124,2008,28.32,2
22124,2009,293.71,3
22124,2010,299.11,2
22124,2011,70.8,1
22124,2012,350.3376,2
22124,2013,484.4598,1
22124,2014,446.4295,2
22124,2016,66.55,1
22124,2017,22.99,1
22124,2020,203.7,6
22124,2021,441.4,12
22124,2022,120.8,3
22126,1999,148823.0,4
22126,2000,263499.0,1
22126,2001,35.28,3
22126,2002,447.76,1
22127,1999,0.0,2
22128,1999,37961.0,2
22130,1999,22392060.0,15
22130,2000,37700.0,1
22131,1999,651717.0,1
22131,2000,634462.0,1
22133,1999,120308.0,1
22135,1999,12992.0,1
22136,1999,187456.0,4
22136,2000,283620.0,3
22136,2001,3248012.0,12
22136,2002,5208.74,11
22136,2003,2180.8,3
22136,2004,2076.4,3
22136,2005,2494.0,2
22136,2006,2542.72,2
22136,2007,2542.72,2
22136,2008,1206.86,4
22136,2009,1243.07,2
22136,2010,1280.35,2
22136,2011,5800.151,4
22136,2012,1345.1267,2
22136,2013,195.03496,3
22148,1999,8236.0,2
22151,1999,380654.0,6
22151,2000,28942.0,2
22153,2001,12760.0,2
22154,1999,14848.0,1
22155,1999,208510.0,1
22156,1999,146856.0,5
22157,1999,66120.0,2
22158,1999,164836.0,5
22159,1999,78300.0,3
22160,1999,14848.0,1
22161,1999,30885.0,3
22164,1999,184405.0,1
22165,1999,308445.0,3
22165,2000,150606.0,1
22166,1999,154048.0,3
22167,1999,14848.0,1
22168,1999,26145.0,1
22169,1999,13340.0,2
22170,1999,15602.0,1
22171,1999,3955267.0,11
22171,2000,1120223.0,7
22171,2001,1100840.0,7
22171,2002,2055.1702,7
22171,2003,-686.37,1
22172,1999,31900.0,1
22173,1999,14848.0,1
22174,1999,460375.0,2
22174,2000,527423.0,2
22175,1999,25752.0,3
22176,1999,324684.0,1
22177,1999,1969216.0,1
22178,1999,445440.0,2
22179,1999,482850.0,2
22179,2000,59392.0,1
22179,2001,152772.0,2
22180,1999,151035.0,1
22181,1999,169348.0,2
22182,1999,128992.0,2
22183,1999,28420.0,1
22184,1999,244760.0,3
22185,1999,21924.0,1
22186,1999,34191.0,1
22187,1999,110757.0,1
22188,1999,0.0,2
22189,1999,906948.0,1
22190,1999,0.0,2
22191,1999,92742.0,2
22191,2000,23084.0,1
22192,1999,30972.0,2
22193,1999,11484.0,1
22193,2004,203.0,1
22194,1999,241976.0,1
22194,2000,26854.0,1
22195,1999,91640.0,1
22196,1999,25520.0,1
22197,1999,431636.0,11
22197,2000,207118.0,15
22197,2001,58174.0,5
22197,2002,1183.5801,3
22197,2003,324.8,1
22197,2004,40.6,1
22198,1999,8700.0,1
22199,1999,139084.0,1
22200,1999,110142.0,2
22200,2002,93.96,1
22201,1999,104400.0,1
22201,2000,5742.0,1
22202,1999,146508.0,1
22202,2003,64.96,1
22203,1999,111360.0,1
22204,1999,261290.0,1
22204,2000,13443356.0,19
22204,2001,4471578.0,11
22204,2002,12173.47,10
22204,2003,6898.06,2
22204,2004,4400.05,7
22204,2005,2953.48,4
22204,2006,4145.8403,4
22204,2007,1105.48,4
22204,2008,10987.5205,9
22204,2010,478.19998,2
22204,2011,696.19995,2
22205,1999,0.0,2
22206,1999,107822.0,3
22207,1999,50808.0,4
22208,1999,19140.0,2
22209,1999,29696.0,2
22210,1999,111360.0,1
22211,1999,18676.0,1
22212,1999,3132.0,1
22213,1999,16162.0,1
22213,2000,80194.0,2
22214,1999,5742.0,1
22215,1999,66816.0,1
22216,1999,17400.0,1
22217,1999,44950.0,1
22218,1999,175044.0,1
22218,2008,722.74,1
22219,1999,52635.0,1
22220,1999,31900.0,1
22221,1999,57652.0,1
22222,1999,8642.0,1
22224,1999,152308.0,1
22224,2000,0.0,2
22225,1999,40986.0,1
22226,1999,18134.0,1
22228,1999,11020.0,1
22229,1999,30740.0,1
22230,1999,31900.0,1
22231,1999,16530.0,1
22232,1999,29599.0,1
22233,1999,1147031.0,5
22233,2000,37178.0,1
22234,1999,7192.0,1
22234,2000,34800.0,1
22234,2002,38.28,1
22235,1999,32674.0,1
22236,1999,1350617.0,4
22236,2001,290348.0,8
22236,2002,676.27997,2
22236,2003,142.68,1
22236,2004,549.83997,4
22236,2005,247.07999,2
22236,2006,4085.52,6
22236,2007,357.28,4
22237,1999,14384.0,1
